period,race,sex,age,value
Net Migration Rate,White non-Hispanic,Male,25,125.95
Net Migration Rate,White non-Hispanic,Male,30,55.11
Net Migration Rate,White non-Hispanic,Male,35,17.23
Net Migration Rate,White non-Hispanic,Male,40,6.66
Net Migration Rate,White non-Hispanic,Male,45,10.62
Net Migration Rate,White non-Hispanic,Male,50,12.01
Net Migration Rate,White non-Hispanic,Male,55,9.11
Net Migration Rate,White non-Hispanic,Male,60,5.86
Net Migration Rate,White non-Hispanic,Male,65,0.26
Net Migration Rate,White non-Hispanic,Male,70,-1.39
Net Migration Rate,White non-Hispanic,Male,75,-6.52
Net Migration Rate,White non-Hispanic,Male,80,1.19
Net Migration Rate,White non-Hispanic,Male,85,14.37
Net Migration Rate,Asian/Pacific Islander,Total,0,-12.35
Net Migration Rate,Asian/Pacific Islander,Total,5,2.02
Net Migration Rate,Asian/Pacific Islander,Total,10,13.29
Net Migration Rate,Asian/Pacific Islander,Total,15,50.21
Net Migration Rate,Asian/Pacific Islander,Total,20,111.35
Net Migration Rate,Asian/Pacific Islander,Total,25,150.97
Net Migration Rate,Asian/Pacific Islander,Total,30,61.14
Net Migration Rate,Asian/Pacific Islander,Total,35,44.41
Net Migration Rate,Asian/Pacific Islander,Total,40,25.13
Net Migration Rate,Asian/Pacific Islander,Total,45,24.58
Net Migration Rate,Asian/Pacific Islander,Total,50,20.86
Net Migration Rate,Asian/Pacific Islander,Total,55,16.13
Net Migration Rate,Asian/Pacific Islander,Total,60,26.6
Net Migration Rate,Asian/Pacific Islander,Total,65,24.29
Net Migration Rate,Asian/Pacific Islander,Total,70,25.17
Net Migration Rate,Asian/Pacific Islander,Total,75,21.59
Net Migration Rate,Asian/Pacific Islander,Total,80,18.19
Net Migration Rate,Asian/Pacific Islander,Total,85,24.29
Net Migration Rate,Black non-Hispanic,Total,0,1.79
Net Migration Rate,Black non-Hispanic,Total,5,6.79
Net Migration Rate,Black non-Hispanic,Total,10,0.49
Net Migration Rate,Black non-Hispanic,Total,15,11.08
Net Migration Rate,Black non-Hispanic,Total,20,22.41
Net Migration Rate,Black non-Hispanic,Total,25,60.66
Net Migration Rate,Black non-Hispanic,Total,30,40.75
Net Migration Rate,Black non-Hispanic,Total,35,25.29
Net Migration Rate,Black non-Hispanic,Total,40,22.03
Net Migration Rate,Black non-Hispanic,Total,45,19.91
Net Migration Rate,Black non-Hispanic,Total,50,16.41
Net Migration Rate,Black non-Hispanic,Total,55,8.54
Net Migration Rate,Black non-Hispanic,Total,60,10.5
Net Migration Rate,Black non-Hispanic,Total,65,8.33
Net Migration Rate,Black non-Hispanic,Total,70,5.25
Net Migration Rate,Black non-Hispanic,Total,75,2.17
Net Migration Rate,Black non-Hispanic,Total,80,2.6
Net Migration Rate,Black non-Hispanic,Total,85,2.38
Net Migration Rate,Hispanic,Total,0,
Net Migration Rate,Hispanic,Total,5,
Net Migration Rate,Hispanic,Total,10,
Net Migration Rate,Hispanic,Total,15,
Net Migration Rate,Hispanic,Total,20,
Net Migration Rate,Hispanic,Total,25,
Net Migration Rate,Hispanic,Total,30,
Net Migration Rate,Hispanic,Total,35,
Net Migration Rate,Hispanic,Total,40,
Net Migration Rate,Hispanic,Total,45,
Net Migration Rate,Hispanic,Total,50,
Net Migration Rate,Hispanic,Total,55,
Net Migration Rate,Hispanic,Total,60,
Net Migration Rate,Hispanic,Total,65,
Net Migration Rate,Hispanic,Total,70,
Net Migration Rate,Hispanic,Total,75,
Net Migration Rate,Hispanic,Total,80,
Net Migration Rate,Hispanic,Total,85,
Net Migration Rate,Am. Indian/Alaska Native,Total,0,
Net Migration Rate,Am. Indian/Alaska Native,Total,5,
Net Migration Rate,Am. Indian/Alaska Native,Total,10,-8.18
Net Migration Rate,Am. Indian/Alaska Native,Total,15,0.87
Net Migration Rate,Am. Indian/Alaska Native,Total,20,10.62
Net Migration Rate,Am. Indian/Alaska Native,Total,25,48.47
Net Migration Rate,Am. Indian/Alaska Native,Total,30,17.35
Net Migration Rate,Am. Indian/Alaska Native,Total,35,-3.84
Net Migration Rate,Am. Indian/Alaska Native,Total,40,-2.39
Net Migration Rate,Am. Indian/Alaska Native,Total,45,-3.18
Net Migration Rate,Am. Indian/Alaska Native,Total,50,0.92
Net Migration Rate,Am. Indian/Alaska Native,Total,55,-2.42
Net Migration Rate,Am. Indian/Alaska Native,Total,60,-6.99
Net Migration Rate,Am. Indian/Alaska Native,Total,65,-7.75
Net Migration Rate,Am. Indian/Alaska Native,Total,70,-12.92
Net Migration Rate,Am. Indian/Alaska Native,Total,75,-19.93
Net Migration Rate,Am. Indian/Alaska Native,Total,80,-25.99
Net Migration Rate,Am. Indian/Alaska Native,Total,85,-51.26
Net Migration Rate,White non-Hispanic,Total,0,-6.87
Net Migration Rate,White non-Hispanic,Total,5,-10.13
Net Migration Rate,White non-Hispanic,Total,10,0.11
Net Migration Rate,White non-Hispanic,Total,15,14.7
Net Migration Rate,White non-Hispanic,Total,20,41.39
Net Migration Rate,White non-Hispanic,Total,25,122.88
Net Migration Rate,White non-Hispanic,Total,30,45.52
Net Migration Rate,White non-Hispanic,Total,35,13.99
Net Migration Rate,White non-Hispanic,Total,40,6.36
Net Migration Rate,White non-Hispanic,Total,45,10.69
Net Migration Rate,White non-Hispanic,Total,50,11.33
Net Migration Rate,White non-Hispanic,Total,55,8.46
Net Migration Rate,White non-Hispanic,Total,60,5.05
Net Migration Rate,White non-Hispanic,Total,65,1.2
Net Migration Rate,White non-Hispanic,Total,70,0.19
Net Migration Rate,White non-Hispanic,Total,75,-3.22
Net Migration Rate,White non-Hispanic,Total,80,6.44
Net Migration Rate,White non-Hispanic,Total,85,31.4
Net Migration Rate,Asian/Pacific Islander,Female,Total,36.29
Net Migration Rate,Black non-Hispanic,Female,Total,16.65
Net Migration Rate,Hispanic,Female,Total,
Net Migration Rate,Am. Indian/Alaska Native,Female,Total,12.75
Net Migration Rate,White non-Hispanic,Female,Total,15.77
Net Migration Rate,Asian/Pacific Islander,Male,Total,38.14
Net Migration Rate,Black non-Hispanic,Male,Total,19.61
Net Migration Rate,Hispanic,Male,Total,
Net Migration Rate,Am. Indian/Alaska Native,Male,Total,7.38
Net Migration Rate,White non-Hispanic,Male,Total,16.52
Net Migration Rate,Asian/Pacific Islander,Total,Total,37.22
Net Migration Rate,Black non-Hispanic,Total,Total,18.11
Net Migration Rate,Hispanic,Total,Total,
Net Migration Rate,Am. Indian/Alaska Native,Total,Total,9.93
Net Migration Rate,White non-Hispanic,Total,Total,16.15
Net Migration Rate,Total,Female,0,-3.69
Net Migration Rate,Total,Female,5,-6.53
Net Migration Rate,Total,Female,10,-4.24
Net Migration Rate,Total,Female,15,12.5
Net Migration Rate,Total,Female,20,36.89
Net Migration Rate,Total,Female,25,84.23
Net Migration Rate,Total,Female,30,29.6
Net Migration Rate,Total,Female,35,10.45
Net Migration Rate,Total,Female,40,8.7
Net Migration Rate,Total,Female,45,12.07
Net Migration Rate,Total,Female,50,11.62
Net Migration Rate,Total,Female,55,8.67
Net Migration Rate,Total,Female,60,7.61
Net Migration Rate,Total,Female,65,4.97
Net Migration Rate,Total,Female,70,0.04
Net Migration Rate,Total,Female,75,0.01
Net Migration Rate,Total,Female,80,9.47
Net Migration Rate,Total,Female,85,31.41
Net Migration Rate,Total,Male,0,-4.18
Net Migration Rate,Total,Male,5,-6.05
Net Migration Rate,Total,Male,10,-3.55
Net Migration Rate,Total,Male,15,10.22
Net Migration Rate,Total,Male,20,32.93
Net Migration Rate,Total,Male,25,91.81
Net Migration Rate,Total,Male,30,39.58
Net Migration Rate,Total,Male,35,13.39
Net Migration Rate,Total,Male,40,4.7
Net Migration Rate,Total,Male,45,7.9
Net Migration Rate,Total,Male,50,9.58
Net Migration Rate,Total,Male,55,6.22
Net Migration Rate,Total,Male,60,4.83
Net Migration Rate,Total,Male,65,1.0
Net Migration Rate,Total,Male,70,-0.35
Net Migration Rate,Total,Male,75,-5.19
Net Migration Rate,Total,Male,80,-0.12
Net Migration Rate,Total,Male,85,9.05
Net Migration Rate,Total,Total,0,-3.94
Net Migration Rate,Total,Total,5,-6.29
Net Migration Rate,Total,Total,10,-3.89
Net Migration Rate,Total,Total,15,11.34
Net Migration Rate,Total,Total,20,34.87
Net Migration Rate,Total,Total,25,88.07
Net Migration Rate,Total,Total,30,34.68
Net Migration Rate,Total,Total,35,11.99
Net Migration Rate,Total,Total,40,6.56
Net Migration Rate,Total,Total,45,9.83
Net Migration Rate,Total,Total,50,10.54
Net Migration Rate,Total,Total,55,7.41
Net Migration Rate,Total,Total,60,6.22
Net Migration Rate,Total,Total,65,3.04
Net Migration Rate,Total,Total,70,1.85
Net Migration Rate,Total,Total,75,-1.87
Net Migration Rate,Total,Total,80,5.24
Net Migration Rate,Total,Total,85,22.72
Net Migration Rate,Total,Female,Total,14.22
Net Migration Rate,Total,Male,Total,13.61
Net Migration Rate,Total,Total,Total,13.91
